Capacidad (MW),Costo de Generación ($/MWh),Eficiencia (%),Disponibilidad (%),Emisiones CO2 (ton/MWh),Tipo de Combustible
0.3751952258532123,0.3786985131666385,0.47933877057759133,0.06935116836826662,0.05824433540539325,Carbón
0.5527480858809318,0.5612142457086884,0.7773354586848112,0.05227509729357997,0.8648139003078312,Eólica
0.8217129345817444,0.8885233214114402,0.04652843965370261,0.09412081271738049,0.5664009528011141,Eólica
0.5725442002640719,0.1392859949734206,0.779398311989629,0.3807244697493626,0.25461449580569745,Eólica
0.7803316909576342,0.9193443249823064,0.4143285507923592,0.9365480363571254,0.009546997446616084,Carbón
0.1948654886149999,0.6557604070922914,0.3147840620270265,0.5798076354687024,0.3407059369960521,Diesel
0.8108360492149165,0.24177022805238443,0.7930713401642691,0.8406600346777396,0.63057558573277,Solar
0.4239475520481931,0.4668637120413253,0.6902641481927122,0.32475885194450976,0.5724126632441326,Solar
0.08309711247088192,0.2368344579789661,0.4011877573560315,0.22200256461827383,0.17952772619393356,Diesel
0.6575604346988507,0.2897462023234241,0.38628083362674037,0.44248056127820135,0.311974443178761,Eólica
0.37220777547839573,0.6100034332845059,0.23864761437725174,0.8304707133963181,0.8874618725623735,Carbón
0.03268612037755118,0.033718741986197745,0.36943164748068646,0.3025569350862016,0.4970495692374102,Gas Natural
0.586150977392894,0.38528224196482946,0.058080685030250066,0.16431626261491186,0.3769007807252067,Diesel
0.9180650516623674,0.16627419230562293,0.6262000904896965,0.21176291363562044,0.8034737706479353,Gas Natural
0.8700496027309486,0.44903852882698764,0.027468579906986562,0.7336150866061819,0.5868587212968086,Eólica
0.8937342446078056,0.057955652983520865,0.43842361430559507,0.30355756626007374,0.25838188870143874,Diesel
0.1947734844045733,0.6513831651124414,0.5585803803787752,0.11702011722048695,0.7951319508182225,Carbón
0.18883967756174508,0.20556436306726003,0.2897963105554799,0.7335104713645311,0.4684142071381603,Carbón
0.6935861461475828,0.975500486786457,0.5951511825430217,0.7211415458051694,0.8675643155191833,Solar
0.9488096224482202,0.6004490634841415,0.13011184090547304,0.3486748976684133,0.6195458636526009,Eólica
0.18519334172723315,0.46400977235786417,0.17094019113481548,0.893494153629396,0.34081513111502654,Diesel
0.030454946204732897,0.9788218275418733,0.7041621251056132,0.1906697457456973,0.04182089936078753,Eólica
0.1734260722960267,0.03657190947530145,0.4340574890034938,0.33305512707698526,0.15193799405148595,Eólica
0.7403974741766647,0.6700010228685072,0.496426790260237,0.7993752548988935,0.093355895823299,Diesel
0.5656362376964227,0.615439773598009,1.0,0.8672646781709861,0.47738130636799697,Gas Natural
0.33628031362209365,0.5659958426176143,0.9263433358113244,0.3072780631225332,0.5627754598420842,Carbón
0.4594239708409742,0.5344133167843227,0.6103866816224889,0.09359008630851985,0.8062314726700199,Solar
0.8373749345142908,0.8505704794422618,0.6222745985327108,0.28240463865578164,0.19568296758735584,Carbón
0.6772325765291584,0.45452842589290365,0.6766541161688384,0.28193384984838316,0.4569786844142251,Solar
0.8438201581823359,0.58561976668947,0.28034624856126594,0.8953672895033963,0.9039713313900755,Eólica
0.27713570884838945,0.3453030419359395,0.8070622613109258,0.11598538872090017,0.9959179845721097,Solar
0.26968071844720426,0.60071481384878,0.35615233863830603,0.3489479972462826,0.44908753474910607,Diesel
0.5787585605413821,0.15979867976755774,0.8882125764801899,0.4970905827462871,0.7828807323254837,Eólica
0.3345215784448194,0.6096123209449793,0.01288860492484237,0.6942812472408085,0.9534905494346858,Gas Natural
0.9618261500809625,0.0,0.541552016003872,0.054987909635053775,0.9180203086378197,Diesel
0.28214165895957083,0.5417795059505748,0.7792346047203218,0.07037927032867182,0.5787567126086361,Eólica
0.2227729378775291,0.1178811191983821,0.8366202015487035,0.8842116420443914,0.07304374272234118,Eólica
0.3903114518794395,0.5007578078613228,0.9211451129149816,0.5395665201011155,0.48699747767432555,Solar
0.8096325888492092,0.8127013875089367,0.7116171981228768,0.9380697261744887,0.6188540839005049,Diesel
0.43750340745113026,0.49527912452717615,0.2432241359969737,0.30703194426014835,0.3146261510239582,Eólica
0.5838043807007237,0.3535002207145912,0.8296020320693205,0.6074305412358496,0.4850117771902227,Solar
0.916453282714552,0.7694246232639425,0.900722729814692,0.007801371572332985,0.24805442199687178,Carbón
0.5732986396107413,0.14163927722565736,0.7591530872680569,0.9992736677183308,0.9103791416984258,Diesel
0.5473413349184433,0.8041401759086945,0.41515081693167816,0.06400443611339467,0.10231917651556253,Eólica
0.20233880601823084,0.34869118370657187,0.40996996516936435,0.8068951588889728,0.26893554631060335,Carbón
0.809962238317221,0.6592128273965043,0.7744044106388661,0.2393946034165827,0.7034461184647096,Solar
0.9417360212312481,0.4611884287124619,0.7292946260628999,0.9402673940995764,0.046024710568666374,Gas Natural
0.3347439266843845,0.464644180385442,0.690808028271102,0.5306556664859011,0.6914052835199104,Carbón
0.6498001022972463,0.2221130238347978,0.03497273552671999,0.937241612967495,0.6856141408136129,Solar
0.18156277189077666,0.4389990901809767,0.9812702905311214,0.269859949566703,0.18908164626258833,Solar
0.22999517598688465,0.20375472923650625,0.7181925971101606,0.5032550290404648,0.9713225611898123,Gas Natural
0.1350145899918536,0.7518225582686605,0.9040474874850966,0.5472773848446961,0.3495321430288601,Carbón
0.7825910808805299,0.0522085373549721,0.7527880329056333,0.9687948291228171,0.009468807917782748,Diesel
0.2382825241661721,0.06580436846878407,0.2379733910959285,0.4652506914594248,0.4274696100394768,Diesel
0.028185895168984825,0.9851422169451574,0.1832041975215312,0.45173821637033784,0.622973777208922,Carbón
0.43829394648700964,0.25463128772826443,0.37592369417546956,0.2858318929078931,0.42688077658537826,Diesel
0.4473199284485849,0.0763921039974924,0.741857859669757,0.8320861217901433,0.15001884772816343,Diesel
0.804039916743766,0.9481455098167144,0.7494289986823891,0.14130938350285877,0.6490943752151356,Diesel
0.4220674883577138,0.14821310125786327,0.6539690573086746,0.3526898722931779,0.6111058734140407,Gas Natural
0.4137890801364329,0.11312102604050517,0.8100139259202459,0.14286758082562567,0.6570799391384216,Eólica
0.7879343951151354,0.3048619412016465,0.7575939225120605,0.7869649327356645,0.8705133343944319,Solar
0.773219277231432,0.6388286717817699,0.3493441355472079,0.38341256674649316,0.16132374290547405,Solar
0.6835366052087702,0.9433383622438791,0.06267157171835165,0.19189837430972945,0.2678955661007411,Diesel
0.41017494109590796,0.8864771836565303,0.5103836437553434,0.0907935579062109,0.13103266058484664,Gas Natural
0.2088781334635736,0.8496842930945473,0.02675395200243523,0.004838028149566628,0.17348087898547415,Gas Natural
0.8589116251943534,0.5908944548028571,0.8001076074102459,0.8782226273636988,0.15007951692480856,Solar
0.7219275019567829,0.11822492594979446,0.4916048681626417,0.41524209583975347,0.7044027453984437,Solar
0.43467146970195203,0.6911160312449931,0.004795517861739627,0.23141329845090505,0.5117972676816672,Eólica
0.4097424337693164,0.7249521163543179,0.914070642512335,0.25284242025719234,0.46608175241108507,Eólica
0.966171048015166,0.9957795254207278,0.7035645442910463,0.22758702856567953,0.8163681572691394,Carbón
0.24393470748307264,0.3200211906932816,0.8026747411832473,0.4213757808731071,0.4315731994283079,Carbón
0.009733406768891026,0.3766319397966104,0.7700038015939843,0.9028479447901238,0.8855178330590534,Diesel
0.11009408357256364,0.3377167886571322,0.9727447526823255,0.6878644785083922,0.004516090779967156,Solar
0.5711893367470001,0.3214806217851125,0.6658842308020494,0.7238215308419222,0.5926976419218619,Diesel
0.7071327708784649,0.18985773752485782,0.3015888934213494,0.1391814025401608,0.37872632347592744,Solar
0.9074962348990567,0.15196861580859677,0.0,0.35690130126710984,0.29259912051337533,Solar
0.912330029394611,0.011633299061301637,0.4363915716704811,0.8723201744505766,0.9741270510696294,Carbón
0.5639317178957497,0.2953817438678371,0.7827801667380125,0.18180120327959057,0.9546351502553571,Carbón
0.7198110143313273,0.08169635278901002,0.9755844858679483,0.5054663194474627,0.10241604816662603,Eólica
0.3862431937146026,0.636510223028964,0.152347046847086,0.03926347289176945,0.09916173214388259,Eólica
0.34425445152031087,0.008847152057147045,0.46859396206644116,0.7486783746450594,0.6272554131458221,Diesel
0.46670665247683085,0.38898421225418933,0.28402175258874546,0.8115477574188634,0.2963705325917129,Carbón
0.6144451339120575,0.1835796421456309,0.978398642614942,0.9348948336037896,0.9086571958805492,Diesel
0.19655249669749683,0.7776600733423332,0.269668719437203,0.34915482205612103,0.7956312315918865,Carbón
0.9749968399406501,0.8149622959977847,0.931222805277515,0.6548731197439286,0.6483333511691982,Solar
0.3126050535344191,0.0829748512861919,0.14211458571212549,0.7155432615982024,0.9028069408298999,Solar
0.8078796486876191,0.9761268075600227,0.8768784652389086,0.4893965407223524,0.4888712366192527,Carbón
0.8966680130293656,0.29028062017214035,0.5494628524960932,0.865059161139831,0.010188090013144857,Diesel
0.3087627883752151,0.723841947650251,0.3495962259757085,0.5909001079352163,0.0626394505875584,Eólica
0.46227958194792457,0.2622231157717041,0.92470138729526,0.7909875303480604,0.6256657412985804,Carbón
